transaction_id,complaint_id,sender_account,receiver_account,amount,transaction_time,transaction_type,transaction_status
TXN80050,CC1312,ACC100381,ACC101026,80245.7,2025-11-02 19:28:27,UPI,Pending
TXN80051,CC1271,ACC101196,ACC101049,86294.66,2025-07-17 08:11:47,UPI,Failed
TXN80052,CC1254,ACC100896,ACC101537,91036.5,2026-04-30 20:57:55,NEFT,Failed
TXN80053,CC1678,ACC101174,ACC101127,127576.76,2026-01-05 05:39:30,NEFT,Failed
TXN80054,CC1415,ACC101710,ACC101586,18876.97,2025-07-01 12:25:23,RTGS,Completed
TXN80055,CC1274,ACC101000,ACC101565,179496.48,2025-06-11 11:50:15,Card Payment,Completed
TXN80056,CC1635,ACC101877,ACC100854,83589.58,2025-04-18 08:30:50,RTGS,Pending
TXN80057,CC1256,ACC100829,ACC101739,116530.18,2026-01-15 05:18:56,IMPS,Failed
TXN80058,CC1946,ACC101567,ACC100807,87143.3,2025-11-22 21:14:21,NEFT,Reversed
TXN80059,CC1131,ACC101561,ACC101299,176198.88,2026-08-14 17:56:21,Card Payment,Pending
TXN80060,CC1158,ACC100594,ACC100415,175547.23,2026-02-02 15:59:37,NEFT,Failed
TXN80061,CC1106,ACC100694,ACC100973,16818.34,2026-04-14 20:44:59,IMPS,Pending
TXN80062,CC1763,ACC101281,ACC101121,186278.44,2025-11-28 08:13:42,RTGS,Reversed
TXN80063,CC1562,ACC100673,ACC101025,149942.04,2025-09-10 21:36:01,IMPS,Completed
TXN80064,CC1403,ACC101497,ACC101103,29849.44,2026-08-03 15:37:40,NEFT,Completed
TXN80065,CC1426,ACC100197,ACC100726,172158.6,2026-05-28 02:06:25,ATM Withdrawal,Pending
TXN80066,CC1712,ACC100946,ACC100182,6330.77,2025-01-24 15:51:13,IMPS,Pending
TXN80067,CC1389,ACC100121,ACC100966,138381.1,2025-01-05 03:17:34,ATM Withdrawal,Reversed
TXN80068,CC1835,ACC100988,ACC101964,111001.14,2025-01-20 17:57:08,IMPS,Failed
TXN80069,CC1588,ACC100426,ACC100242,26797.07,2025-05-06 09:25:50,NEFT,Failed
TXN80070,CC1802,ACC101584,ACC100906,79673.69,2025-11-28 20:17:53,NEFT,Pending
TXN80071,CC1398,ACC101726,ACC101439,59659.28,2026-02-20 06:58:52,NEFT,Completed
TXN80072,CC1472,ACC100285,ACC101533,186184.17,2026-08-26 20:57:19,UPI,Pending
TXN80073,CC1405,ACC101681,ACC101173,52821.76,2025-03-23 21:07:11,Card Payment,Reversed
TXN80074,CC1720,ACC101866,ACC100785,143861.75,2026-08-04 14:05:39,IMPS,Reversed
TXN80075,CC1689,ACC100053,ACC100844,136544.64,2026-07-18 07:13:21,NEFT,Completed
TXN80076,CC1034,ACC100215,ACC101958,78231.07,2025-06-23 11:50:49,ATM Withdrawal,Completed
TXN80077,CC1117,ACC100822,ACC101590,143823.85,2026-08-05 19:17:46,ATM Withdrawal,Completed
TXN80078,CC1780,ACC101545,ACC100167,39340.14,2025-08-26 08:17:13,IMPS,Reversed
TXN80079,CC1854,ACC100988,ACC101346,160121.47,2025-10-08 17:50:06,RTGS,Completed
TXN80080,CC1846,ACC101154,ACC101118,159529.92,2025-09-29 02:46:03,UPI,Reversed
TXN80081,CC1506,ACC101230,ACC100444,8020.6,2025-09-15 17:05:06,IMPS,Completed
TXN80082,CC1999,ACC100580,ACC101185,131063.33,2026-08-28 21:42:05,UPI,Completed
TXN80083,CC1869,ACC100639,ACC101344,179842.22,2025-06-15 01:09:33,ATM Withdrawal,Reversed
TXN80084,CC1874,ACC100855,ACC101897,24254.45,2026-07-12 01:47:04,ATM Withdrawal,Completed
TXN80085,CC1253,ACC100598,ACC100296,24837.78,2025-07-25 08:32:57,Card Payment,Failed
TXN80086,CC1310,ACC101134,ACC100535,177686.96,2025-03-03 06:20:12,UPI,Reversed
TXN80087,CC1063,ACC101425,ACC100980,113312.12,2025-04-09 15:53:59,ATM Withdrawal,Completed
TXN80088,CC1211,ACC101886,ACC101114,76740.44,2025-03-23 10:50:30,UPI,Completed
TXN80089,CC1810,ACC101015,ACC100238,41054.0,2025-05-19 22:06:37,Card Payment,Failed
TXN80090,CC1949,ACC101736,ACC101674,3736.66,2025-05-19 09:57:29,Card Payment,Completed
TXN80091,CC1166,ACC101988,ACC101911,104390.53,2025-04-01 09:05:07,NEFT,Reversed
TXN80092,CC1872,ACC101295,ACC100613,63764.2,2026-05-12 22:04:49,ATM Withdrawal,Pending
TXN80093,CC1994,ACC100894,ACC100976,169902.07,2026-01-13 15:24:18,IMPS,Pending
TXN80094,CC1620,ACC100147,ACC100490,111044.49,2025-03-23 01:58:40,IMPS,Failed
TXN80095,CC1630,ACC101988,ACC100228,131695.45,2026-01-24 03:50:36,RTGS,Pending
TXN80096,CC1256,ACC101314,ACC100311,24234.59,2025-10-18 01:04:45,NEFT,Completed
TXN80097,CC1943,ACC100688,ACC100447,66633.5,2026-02-25 19:42:27,Card Payment,Pending
TXN80098,CC1398,ACC100137,ACC100833,109799.57,2025-12-19 10:10:20,NEFT,Reversed
TXN80099,CC1758,ACC100639,ACC101830,15472.83,2025-05-23 20:23:18,IMPS,Completed
TXN80100,CC1957,ACC101450,ACC100956,116958.02,2025-10-10 16:33:58,RTGS,Reversed
TXN80101,CC1400,ACC101239,ACC100579,101583.37,2025-08-15 01:01:23,UPI,Failed
TXN80102,CC1444,ACC100925,ACC100713,187846.48,2026-02-16 06:23:23,ATM Withdrawal,Failed
TXN80103,CC1908,ACC100299,ACC101745,198109.34,2026-04-05 20:46:05,IMPS,Pending
TXN80104,CC1400,ACC100828,ACC100273,152204.12,2026-01-06 12:23:01,RTGS,Reversed
TXN80105,CC1895,ACC100017,ACC100976,4999.79,2025-02-13 02:18:54,Card Payment,Failed
TXN80106,CC1114,ACC101718,ACC100456,1516.18,2026-01-23 16:41:26,NEFT,Failed
TXN80107,CC1042,ACC101613,ACC101435,102634.29,2025-04-16 00:00:40,IMPS,Reversed
TXN80108,CC1555,ACC101228,ACC100121,134627.01,2025-04-13 15:08:34,NEFT,Completed
TXN80109,CC1484,ACC100835,ACC100346,38838.71,2025-04-24 03:22:55,Card Payment,Pending
TXN80110,CC1144,ACC100470,ACC100293,110666.73,2025-07-05 05:35:09,RTGS,Completed
TXN80111,CC1549,ACC100569,ACC100965,65685.06,2025-06-09 16:12:22,ATM Withdrawal,Failed
TXN80112,CC1033,ACC100003,ACC100559,18907.75,2026-07-22 08:28:38,UPI,Pending
TXN80113,CC1382,ACC101823,ACC101602,20805.08,2025-04-29 07:22:42,UPI,Failed
TXN80114,CC1199,ACC100653,ACC101981,156063.85,2026-03-30 04:10:49,Card Payment,Pending
TXN80115,CC1946,ACC101691,ACC100016,158413.36,2026-03-24 09:07:40,Card Payment,Failed
TXN80116,CC1980,ACC101003,ACC101140,196118.57,2026-04-21 16:15:01,NEFT,Completed
TXN80117,CC1872,ACC100150,ACC100049,179043.51,2025-04-15 19:18:58,Card Payment,Failed
TXN80118,CC1249,ACC100618,ACC100159,122846.25,2025-05-10 16:48:58,UPI,Failed
TXN80119,CC1295,ACC100962,ACC101139,82293.09,2026-04-11 09:46:56,Card Payment,Pending
TXN80120,CC1564,ACC100075,ACC100359,17457.99,2026-06-07 21:35:59,ATM Withdrawal,Pending
TXN80121,CC1024,ACC100790,ACC100455,151323.74,2026-05-25 17:41:45,UPI,Pending
TXN80122,CC1476,ACC101144,ACC101199,154735.23,2025-05-30 03:14:52,Card Payment,Reversed
TXN80123,CC1257,ACC101908,ACC101880,180819.97,2026-02-17 19:36:00,RTGS,Failed
TXN80124,CC1566,ACC100662,ACC101962,69223.88,2026-05-20 11:37:36,RTGS,Completed
TXN80125,CC1558,ACC101556,ACC100570,37721.21,2025-01-01 13:38:27,ATM Withdrawal,Completed
TXN80126,CC1707,ACC100611,ACC100736,178825.69,2026-06-17 19:51:34,IMPS,Completed
TXN80127,CC1387,ACC100137,ACC101491,10169.95,2025-12-06 13:29:15,NEFT,Reversed
TXN80128,CC1775,ACC100560,ACC100761,89088.41,2025-02-14 02:25:20,NEFT,Reversed
TXN80129,CC1425,ACC100191,ACC101898,44922.81,2026-07-28 02:19:37,ATM Withdrawal,Completed
TXN80130,CC1144,ACC100733,ACC100451,127186.15,2026-06-09 08:12:30,Card Payment,Reversed
TXN80131,CC1631,ACC101258,ACC100330,128209.47,2026-02-12 09:17:19,IMPS,Reversed
TXN80132,CC1881,ACC101863,ACC100370,64960.17,2025-01-10 17:18:43,NEFT,Pending
TXN80133,CC1762,ACC100289,ACC101846,50481.18,2025-08-06 09:32:00,UPI,Failed
TXN80134,CC1082,ACC100931,ACC101453,25640.8,2025-04-24 23:21:21,NEFT,Reversed
TXN80135,CC1615,ACC100222,ACC100671,107148.15,2025-11-19 14:18:54,ATM Withdrawal,Completed
TXN80136,CC1394,ACC100357,ACC101709,100048.02,2026-01-23 00:10:17,NEFT,Failed
TXN80137,CC1464,ACC100126,ACC100490,199351.5,2025-08-07 07:42:09,ATM Withdrawal,Failed
TXN80138,CC1692,ACC101229,ACC100597,72087.85,2025-08-16 02:20:40,ATM Withdrawal,Pending
TXN80139,CC1538,ACC100793,ACC100464,9694.98,2025-01-21 04:38:27,IMPS,Pending
TXN80140,CC1927,ACC101806,ACC101414,123638.71,2025-04-03 14:10:06,IMPS,Failed
TXN80141,CC1975,ACC100322,ACC101230,28197.49,2025-05-15 00:19:05,IMPS,Reversed
TXN80142,CC1555,ACC101900,ACC101576,35778.27,2025-05-03 11:43:15,ATM Withdrawal,Pending
TXN80143,CC1922,ACC100832,ACC100784,121022.66,2026-05-02 00:25:14,NEFT,Failed
TXN80144,CC1770,ACC100068,ACC101989,43482.04,2025-08-25 18:10:32,UPI,Failed
TXN80145,CC1545,ACC101598,ACC101921,164354.06,2025-01-08 05:09:02,IMPS,Completed
TXN80146,CC1688,ACC101199,ACC100100,21695.46,2025-09-03 20:15:13,RTGS,Pending
TXN80147,CC1502,ACC101238,ACC100998,17408.15,2025-03-05 00:03:41,UPI,Pending
TXN80148,CC1726,ACC101192,ACC101328,68647.53,2025-04-12 12:09:11,RTGS,Reversed
TXN80149,CC1733,ACC101471,ACC101387,56514.21,2026-05-20 02:32:47,RTGS,Failed
TXN80150,CC1994,ACC101229,ACC100634,990.24,2026-04-06 18:39:51,NEFT,Pending
TXN80152,CC1667,ACC101286,ACC100960,93361.9,2026-07-02 02:18:21,IMPS,Failed
TXN80153,CC1452,ACC101504,ACC100590,167654.42,2026-03-31 00:50:47,UPI,Failed
TXN80154,CC1968,ACC101551,ACC100723,39564.44,2025-04-17 02:42:28,IMPS,Reversed
TXN80155,CC1993,ACC100862,ACC101458,85888.21,2025-03-01 11:11:42,IMPS,Reversed
TXN80156,CC1069,ACC100257,ACC100055,156858.83,2025-06-13 17:05:52,Card Payment,Failed
TXN80157,CC1489,ACC101122,ACC100113,81652.5,2025-03-17 23:39:03,NEFT,Pending
TXN80158,CC1252,ACC100142,ACC101383,23218.5,2026-05-05 20:35:43,IMPS,Completed
TXN80159,CC1396,ACC101289,ACC101692,95825.76,2026-03-14 06:21:15,NEFT,Pending
TXN80160,CC1204,ACC101401,ACC100996,25059.29,2025-12-31 18:09:04,NEFT,Reversed
TXN80161,CC1839,ACC101303,ACC101059,144232.11,2026-06-09 11:26:14,IMPS,Completed
TXN80162,CC1086,ACC100586,ACC101733,30868.27,2025-11-16 06:01:02,UPI,Pending
TXN80163,CC1465,ACC101701,ACC100690,154695.37,2025-09-09 18:48:34,ATM Withdrawal,Pending
TXN80164,CC1895,ACC100499,ACC101440,139609.64,2025-08-01 04:16:27,RTGS,Reversed
TXN80165,CC1390,ACC101255,ACC100428,25798.59,2026-05-06 17:45:16,UPI,Reversed
TXN80166,CC1675,ACC101135,ACC100414,160388.75,2026-05-24 13:21:36,UPI,Failed
TXN80167,CC1918,ACC100431,ACC101883,104996.68,2025-02-12 03:06:49,RTGS,Completed
TXN80168,CC1835,ACC100795,ACC101647,70943.29,2026-03-15 12:18:11,IMPS,Reversed
TXN80169,CC1887,ACC101625,ACC101796,44455.63,2026-01-13 02:51:09,IMPS,Pending
TXN80170,CC1287,ACC100648,ACC101932,69412.53,2025-09-12 15:53:23,Card Payment,Reversed
TXN80171,CC1322,ACC101906,ACC101539,77487.62,2026-04-26 13:16:33,IMPS,Failed
TXN80172,CC1603,ACC100873,ACC100328,33355.0,2026-08-15 09:45:23,UPI,Completed
TXN80173,CC1315,ACC100834,ACC101281,28048.91,2025-01-06 13:37:08,ATM Withdrawal,Reversed
TXN80174,CC1335,ACC100785,ACC101094,185797.45,2025-04-23 04:52:43,UPI,Reversed
TXN80175,CC1785,ACC100259,ACC101538,89738.36,2026-03-04 22:31:11,ATM Withdrawal,Pending
TXN80176,CC1758,ACC100655,ACC101439,4846.09,2026-03-28 18:49:13,RTGS,Failed
TXN80177,CC1888,ACC100284,ACC100150,26632.59,2025-04-23 09:27:55,Card Payment,Failed
TXN80178,CC1923,ACC100009,ACC100382,29895.18,2025-07-20 09:57:31,IMPS,Completed
TXN80179,CC1294,ACC101866,ACC100707,194506.92,2026-08-04 14:54:56,NEFT,Failed
TXN80180,CC1120,ACC101770,ACC101065,58615.69,2025-02-23 14:01:13,NEFT,Pending
TXN80181,CC1096,ACC100600,ACC100928,111322.36,2025-05-28 07:12:28,Card Payment,Pending
TXN80182,CC1711,ACC100115,ACC101898,113693.51,2025-10-04 10:04:45,IMPS,Reversed
TXN80183,CC1410,ACC101569,ACC101495,89330.77,2026-02-09 06:26:40,NEFT,Pending
TXN80184,CC1870,ACC101768,ACC101606,195916.7,2026-06-17 13:12:00,UPI,Completed
TXN80185,CC1142,ACC101809,ACC101626,165175.54,2025-01-28 01:57:56,Card Payment,Failed
TXN80186,CC1516,ACC101881,ACC100550,25736.79,2025-09-17 17:13:13,NEFT,Reversed
TXN80187,CC1870,ACC100925,ACC101384,115463.31,2025-01-24 16:10:44,ATM Withdrawal,Reversed
TXN80188,CC1511,ACC101483,ACC101516,127808.42,2025-07-31 12:00:54,RTGS,Failed
TXN80189,CC1622,ACC101879,ACC100586,178185.18,2025-05-17 00:35:23,IMPS,Failed
TXN80190,CC1582,ACC101465,ACC101708,10873.71,2025-07-12 04:16:39,RTGS,Completed
TXN80191,CC1930,ACC101155,ACC101906,43422.22,2025-02-21 20:56:55,UPI,Completed
TXN80192,CC1111,ACC101841,ACC100680,58708.82,2025-04-23 15:22:50,ATM Withdrawal,Completed
TXN80193,CC1554,ACC101798,ACC100100,43739.06,2026-06-21 23:32:36,Card Payment,Completed
TXN80194,CC1293,ACC100523,ACC101307,14093.48,2025-10-16 01:17:15,UPI,Failed
TXN80195,CC1416,ACC100789,ACC101831,102039.75,2025-03-19 21:13:53,RTGS,Pending
TXN80196,CC1535,ACC101300,ACC101341,21054.05,2026-06-12 20:13:30,RTGS,Reversed
TXN80197,CC1328,ACC100722,ACC101036,10462.77,2025-02-13 19:40:00,UPI,Reversed
TXN80198,CC1529,ACC101908,ACC100651,76595.92,2026-04-04 03:31:53,IMPS,Failed
TXN80199,CC1037,ACC100187,ACC101971,185464.71,2025-02-08 04:56:29,Card Payment,Completed
TXN80200,CC1415,ACC101838,ACC101242,105659.5,2026-07-27 20:45:13,IMPS,Completed
TXN80201,CC1447,ACC100192,ACC100219,73479.82,2026-02-03 13:51:33,IMPS,Completed
TXN80202,CC1088,ACC101165,ACC101170,94269.55,2026-01-30 14:22:37,Card Payment,Pending
TXN80203,CC1680,ACC100408,ACC100328,83057.73,2026-05-03 01:46:20,UPI,Failed
TXN80204,CC1993,ACC101099,ACC100425,75297.33,2025-09-19 11:41:34,UPI,Failed
TXN80205,CC1433,ACC100671,ACC100901,141265.06,2026-07-13 11:15:23,NEFT,Pending
TXN80206,CC1593,ACC101344,ACC101216,154207.51,2026-06-06 05:18:10,IMPS,Reversed
TXN80207,CC1676,ACC100291,ACC100194,93890.85,2026-05-09 10:35:02,UPI,Failed
TXN80208,CC1553,ACC101668,ACC100549,185841.59,2026-03-15 17:31:38,NEFT,Completed
TXN80209,CC1835,ACC101792,ACC101591,40877.56,2025-06-05 16:21:13,NEFT,Reversed
TXN80210,CC1184,ACC100981,ACC101545,77157.61,2026-08-30 17:51:41,NEFT,Failed
TXN80211,CC1325,ACC100143,ACC101307,74509.58,2025-03-04 05:20:08,ATM Withdrawal,Failed
TXN80212,CC1967,ACC100615,ACC100874,21745.82,2025-09-02 00:51:34,IMPS,Pending
TXN80213,CC1964,ACC101875,ACC100016,107266.59,2026-08-01 15:08:56,Card Payment,Completed
TXN80214,CC1655,ACC100936,ACC101568,165815.95,2026-07-23 22:54:10,IMPS,Reversed
TXN80215,CC1481,ACC100934,ACC101884,149505.65,2025-04-29 03:56:48,ATM Withdrawal,Failed
TXN80216,CC1144,ACC100654,ACC100263,138812.16,2026-05-08 20:32:58,IMPS,Pending
TXN80217,CC1002,ACC101598,ACC101235,12764.96,2026-03-30 02:09:04,UPI,Pending
TXN80218,CC1734,ACC101757,ACC100571,28592.05,2025-10-30 21:18:31,NEFT,Completed
TXN80219,CC1358,ACC101514,ACC101349,96943.98,2026-04-03 15:06:48,ATM Withdrawal,Reversed
TXN80220,CC1958,ACC100247,ACC101389,116134.95,2026-05-02 03:24:23,Card Payment,Reversed
TXN80221,CC1359,ACC101581,ACC100817,80825.86,2026-04-12 13:18:02,ATM Withdrawal,Reversed
TXN80222,CC1537,ACC101751,ACC100481,39356.89,2025-09-30 00:01:39,Card Payment,Failed
TXN80223,CC1156,ACC100331,ACC101918,164911.95,2025-10-16 04:43:24,Card Payment,Failed
TXN80224,CC1201,ACC101599,ACC100940,125016.53,2025-07-06 04:53:05,ATM Withdrawal,Completed
TXN80225,CC1779,ACC100530,ACC100500,196822.83,2025-01-14 14:01:23,Card Payment,Failed
TXN80226,CC1490,ACC101376,ACC100499,84556.02,2025-04-27 10:31:50,Card Payment,Completed
TXN80227,CC1085,ACC101860,ACC101935,66086.22,2025-04-09 01:04:25,Card Payment,Pending
TXN80228,CC1430,ACC100019,ACC100063,101031.91,2025-05-18 12:22:35,ATM Withdrawal,Pending
TXN80229,CC1686,ACC100536,ACC101730,94010.91,2025-12-11 19:29:55,ATM Withdrawal,Pending
TXN80230,CC1226,ACC100653,ACC100592,101766.22,2025-07-31 11:31:57,UPI,Pending
TXN80231,CC1111,ACC100581,ACC101169,80882.47,2026-08-07 02:52:16,IMPS,Pending
TXN80232,CC1994,ACC101836,ACC101456,101318.78,2026-02-28 20:24:54,RTGS,Pending
TXN80233,CC1832,ACC100320,ACC100047,175380.98,2025-04-04 15:44:08,Card Payment,Reversed
TXN80234,CC1434,ACC100748,ACC100300,155846.7,2025-05-26 09:25:34,RTGS,Failed
TXN80235,CC1879,ACC101821,ACC101213,180377.52,2026-05-26 21:08:18,UPI,Completed
TXN80236,CC1831,ACC100071,ACC101412,176175.66,2025-05-25 00:34:25,Card Payment,Completed
TXN80237,CC1089,ACC100623,ACC101366,149383.45,2025-01-18 10:05:37,UPI,Failed
TXN80238,CC1287,ACC100427,ACC101688,29076.56,2025-04-28 12:41:12,Card Payment,Completed
TXN80239,CC1901,ACC101321,ACC101426,145235.45,2025-08-29 10:57:26,Card Payment,Pending
TXN80240,CC1391,ACC101226,ACC101460,152644.12,2025-07-25 00:05:58,UPI,Completed
TXN80241,CC1740,ACC100078,ACC101207,10956.84,2026-08-26 07:04:35,IMPS,Completed
TXN80242,CC1745,ACC100008,ACC101658,188132.23,2026-06-29 01:11:33,Card Payment,Pending
TXN80243,CC1344,ACC101432,ACC101950,56096.47,2025-12-10 17:56:38,NEFT,Completed
TXN80244,CC1637,ACC101515,ACC100472,10349.1,2025-09-26 22:14:40,IMPS,Reversed
TXN80245,CC1435,ACC100182,ACC100497,154177.73,2026-02-08 05:34:58,Card Payment,Completed
TXN80246,CC1525,ACC101616,ACC101661,16928.31,2025-05-21 21:40:27,ATM Withdrawal,Completed
TXN80247,CC1358,ACC101748,ACC101772,152325.93,2025-11-07 14:57:44,RTGS,Reversed
TXN80248,CC1868,ACC100008,ACC101786,69822.78,2025-08-14 02:53:55,UPI,Completed
TXN80249,CC1358,ACC101395,ACC101124,189402.09,2025-09-08 00:55:39,IMPS,Reversed
TXN80250,CC1953,ACC100416,ACC101239,89848.99,2026-05-31 09:08:06,ATM Withdrawal,Completed
TXN80251,CC1765,ACC100632,ACC100287,133619.56,2025-08-27 15:26:46,RTGS,Completed
TXN80252,CC1776,ACC101492,ACC100213,81404.44,2026-05-13 13:30:44,UPI,Reversed
TXN80253,CC1491,ACC100816,ACC101782,179639.42,2026-06-28 17:51:13,IMPS,Pending
TXN80254,CC1443,ACC101116,ACC101078,181257.39,2026-01-02 00:05:46,Card Payment,Reversed
TXN80255,CC1901,ACC101590,ACC101603,128156.12,2026-04-16 12:11:37,NEFT,Pending
TXN80256,CC1436,ACC100886,ACC100891,89048.72,2026-06-12 00:36:44,Card Payment,Pending
TXN80257,CC1459,ACC101319,ACC100814,17582.24,2026-02-09 10:10:11,ATM Withdrawal,Completed
TXN80258,CC1475,ACC100597,ACC101190,116954.54,2025-11-22 18:34:06,NEFT,Failed
TXN80259,CC1350,ACC101275,ACC100977,96314.31,2025-06-05 13:20:38,IMPS,Reversed
TXN80260,CC1304,ACC100052,ACC101125,167801.62,2026-07-25 11:47:34,UPI,Failed
TXN80261,CC1031,ACC101893,ACC100149,183731.98,2025-10-25 03:49:28,UPI,Reversed
TXN80262,CC1338,ACC100989,ACC101130,116751.11,2026-08-09 02:52:08,ATM Withdrawal,Failed
TXN80263,CC1889,ACC100812,ACC100719,160385.76,2026-07-02 17:28:05,Card Payment,Completed
TXN80264,CC1862,ACC100632,ACC101077,85991.84,2025-02-27 20:23:49,UPI,Completed
TXN80265,CC1736,ACC101236,ACC100377,52747.11,2025-07-05 16:28:35,IMPS,Failed
TXN80266,CC1655,ACC100949,ACC100102,125478.64,2025-01-18 04:37:12,UPI,Completed
TXN80267,CC1105,ACC101498,ACC101797,30410.13,2025-01-14 02:41:32,IMPS,Completed
TXN80268,CC1506,ACC100564,ACC100351,114538.32,2025-01-24 12:42:41,ATM Withdrawal,Failed
TXN80269,CC1153,ACC100372,ACC100332,45798.86,2025-07-13 13:38:13,UPI,Completed
TXN80270,CC1394,ACC100345,ACC101816,8848.62,2026-05-26 20:12:01,NEFT,Failed
TXN80271,CC1805,ACC100354,ACC101853,77286.49,2026-03-10 04:16:44,ATM Withdrawal,Reversed
TXN80272,CC1373,ACC100490,ACC100962,189065.55,2025-10-23 00:44:51,RTGS,Reversed
TXN80273,CC1906,ACC101602,ACC101414,18858.33,2025-10-11 09:25:42,ATM Withdrawal,Failed
